id,name,service_type,address,contact_name,contact_email,phone,tax_id,vendor_status,approved_vendor,created_by,created_at,modified_by,modified_at
e06b01cc69274dac86fce3bfdb98c909,Nelson Maintenance Co.,Maintenance & Janitorial Vendors,"6462 Casey Row Suite 843, Gutierrezmouth, MN 96437",Kevin Phillips,jameshess@example.com,504.551.4857,744-70-5442,Active,True,U772246,2025-06-26 09:40:00,U772246,2025-07-22 02:49:17
4fbfa6f538cf4b81bdaa620440b0407c,Payne Engineering,Engineering Services,"87979 Jennifer Inlet, Jameshaven, NE 70878",Bryan West,vparrish@example.org,651-695-7230x136,414-97-4645,Active,False,U107473,2020-02-01 14:56:15,U107473,2021-10-01 07:18:41
48bfb24358d64f1d95a2171236dfd7c9,Wells Group,Leasing Brokers & Tenant Reps,"1385 Lynn Drives, New Carrie, NJ 59093",Karen Johnson,andrea52@example.com,880.454.8024,500-35-5429,Active,True,U256787,2023-08-01 23:37:40,U256787,2023-09-01 02:55:47
bd74df9eeab64d54b705354ec388e91c,Hernandez CPA Group,Financial & Tax Advisors,"7577 Wallace Dam, Mackfurt, AR 89282",Steven Drake,coreynolan@example.net,787.462.1916,831-98-7797,Active,False,U772246,2022-11-05 10:51:57,U772246,2024-01-01 03:26:07
e471176b480d4819bd36a730777d5574,Dixon CRE Watch,Security & Surveillance Providers,"69481 Smith Ridges Suite 949, Chapmanfort, ME 22505",Brian Robinson,ericburnett@example.com,297-946-2496x17896,452-62-7554,Active,False,U026225,2017-07-15 03:54:11,U772246,2022-03-31 00:49:22
73955bd4d0174eb0bdb1567eb0fb8302,Harris and Sons,Leasing Brokers & Tenant Reps,"82085 Joshua Lights, North Latoyafurt, ID 83657",Anthony Carter,trevor70@example.com,204.716.9808x72861,394-33-0707,Active,True,U288389,2019-09-18 05:40:38,U288389,2024-07-15 07:41:16
b1bf3eb77ea142d090884adb934a433e,Young Ltd,Property Management Firms,"2843 Shelton Trail, West Victor, KS 42774",David Lopez,jdean@example.com,(691)429-4352x14597,387-79-4528,Active,False,U777572,2023-05-04 02:59:58,U772246,2025-01-02 21:30:26
8d0027ebd2004a47b77d468b855ba450,Anderson Escrow Services,Title & Escrow Services,"7444 Natalie Roads, East Gregorystad, WI 14641",Steven Sanchez,zgray@example.net,+1-414-702-2370x314,188-14-2834,Active,True,U146316,2024-08-24 20:10:25,U026225,2024-12-12 18:24:45
b1468e08b1f14d789ed240eee074f86f,Hurst Engineering,Engineering Services,"PSC 1550, Box 6286, APO AE 27359",Larry Grimes,bethsmith@example.net,330-563-9692x1312,614-87-3270,Inactive,True,U772246,2019-07-13 23:28:04,U772246,2025-02-04 03:46:21
c30a625b84db4345bb65664ebc9d274a,Hill Realty Management,Property Management Firms,"1897 James Harbors Apt. 788, Duartechester, MN 66076",Matthew Brennan,nicholaswade@example.net,+1-477-342-9089x4163,877-85-3186,Active,True,U709570,2020-01-30 22:36:51,U772246,2025-06-19 14:59:09
cfd06e85b8e44cad940ca2e8c784f056,"Allen, Callahan and Washington",Construction Managers,"4339 Dominic Road Suite 306, East Thomaschester, CA 42973",Walter Gonzalez,robinsonjulia@example.org,(672)434-9141x4220,791-88-0507,Active,False,U288389,2023-10-25 20:12:35,U288389,2024-05-14 12:48:52
4ffc64e7e9bf4dcdb00366d39aa22bea,Sherman Title Co.,Title & Escrow Services,"928 Harrison Radial Apt. 145, West Robertburgh, CO 67202",Loretta Garcia,michaelsanchez@example.org,+1-559-709-0322x643,694-28-5418,Active,False,U107473,2017-02-03 15:20:01,U107473,2021-04-09 14:23:10
4119ef502c3f4c9eb7dad1dc273d985e,Rosario Software Group,Software Providers,"8421 Hardy Groves, Lake Chrisland, DE 05458",Douglas Mckenzie,dixonjoshua@example.org,5244418985,841-35-6149,Active,True,U256787,2015-12-12 22:36:15,U256787,2019-07-28 17:27:17
a258e4d218714ad9a87fb08641055406,Lutz Technologies,Software Providers,"38810 Coleman Corners, New Erinbury, KY 83518",Michelle Oconnell,xsalinas@example.org,572-781-1785,002-80-3427,Active,False,U772246,2020-03-10 01:22:34,U772246,2023-12-09 06:55:28
575d73531ec24ed7b5f0ca0159739011,"Flores, Zuniga and Koch",Engineering Services,"0220 Wilson Expressway, Wilsonborough, CT 66569",Edwin Johnson,leehernandez@example.net,001-752-802-8564,308-24-4656,Active,False,U709570,2018-06-20 04:30:46,U709570,2019-01-14 02:20:17
9f5425e7a007479e821c14145e4bfc7e,Anderson CleanTech,Maintenance & Janitorial Vendors,"81869 Stafford Fall, Port Victoria, OR 57533",Benjamin Mejia,ericsantiago@example.org,308.433.5652,623-95-6445,Active,False,U772246,2020-11-21 00:24:57,U772246,2025-02-07 19:15:25
