id,property_id,unit_id,business_name,primary_contact,email,phone,industry,annual_revenue,employee_count,lease_start_date,move_in_reason
947445dfd42a40d7b5cd6f64964190a9,274d6a082abc4de091a10bc562745591,3df256525eea48aa9a5825f7bca43eec,"Wilson, Cruz and Choi",Darlene Jackson,brian49@smith.com,891-878-2560x13896,General Business,<1M,217,2024-06-26,Relocation
ddae30d278424cd7b87009a225a9dd92,4048c193d3314cbb93aba057f43797fa,1d53d7e3db494e9e94879f7f2a7bec24,"Myers, Rogers and Thomas",Carol Watson,mark72@baker.com,001-911-501-5379x2349,General Business,25M+,358,2024-03-10,Relocation
dd9652254cf847b294e59f06d51ec955,ea2f0fc90e65423498b01b174798b47b,59db7371aab2423084d99b7c177cf575,Morrison Group,Robert French,watsonshawn@hays.biz,(257)279-5627,General Business,25M+,229,2021-07-31,Relocation
1eb96946c7484b1da29b7383821d2f45,770ad6e9012d4010b2a18344f718c7e0,0c6324148eb1417bbbc4015704df6846,Guzman-Shannon,April Ramos,brianperez@jackson.com,2166541548,General Business,5M–25M,364,2024-11-01,Relocation
da6f49e0166f44cb87fb538d0d54e6a9,ea2f0fc90e65423498b01b174798b47b,b2a8965cea8e47eaa5edb1112cbd799d,Martin Group,Michaela Chambers,kshea@santos-yang.com,(778)582-6049,General Business,<1M,88,2024-01-29,Relocation
d1e56b36f3c84467801fb9642c3879b0,ea2f0fc90e65423498b01b174798b47b,1d3119a846564f759a47f7437e4c9793,Edwards-Lynch,Michael Guerrero,heather38@white.com,888-284-7581x267,General Business,1M–5M,65,2020-09-17,Expansion
379d4f3c774b4fb59a51a5f87b691fd7,ea2f0fc90e65423498b01b174798b47b,5c853b81ad374446aa37015fefd92ff4,Wood-Wood,Melissa Bates,sampsonjimmy@cummings-murphy.net,001-624-742-3234x6699,General Business,<1M,114,2024-12-15,Expansion
d2025c2754e743d9ba42d73fe83d13eb,ea2f0fc90e65423498b01b174798b47b,471f19eb6aa34fae89608a8ff91c7592,"Martinez, Gray and Wood",Patrick Clark,cortega@austin.org,001-285-386-3913x6120,General Business,5M–25M,235,2021-08-28,Relocation
bf5658d6e33c4e529c021947adaff8d6,c8cc4a5421fc4a06a9e250a8bb2369ac,2716fec9c5604f26ab23179a47847f6f,"Williams, Herrera and Silva",James Anderson,thomaspaul@myers.net,001-398-783-9405,General Business,1M–5M,397,2022-08-23,Relocation
971c07840f084cc48d3efc2a96f77682,c1ca754d15e2405c8b15f05797349756,a5d2342db1154fee98802d04f1d31ac5,Holland Inc,Kimberly Smith,elizabethsoto@jenkins-eaton.com,(916)977-6205x02924,General Business,5M–25M,277,2025-01-29,Expansion
e7d2498c77914a71b5c9499040383191,edd147456cc34963b22f00e217c031e1,953c853deefe4ad7aaefddf52258e143,"Hampton, Evans and Lin",Tammy Davis,carolyn31@hughes.com,685.813.9508x346,General Business,5M–25M,253,2025-06-02,Relocation
ec6f89408e1447e5967494460e6bff30,4048c193d3314cbb93aba057f43797fa,b6d54c362f554f2a912a973e2ed37cee,Butler PLC,Craig Hanna,william42@davis.info,(400)574-2721x911,General Business,1M–5M,108,2024-01-22,Expansion
23adce375cc9436eae341088f0122cc5,8ff9cf5d8f654be4887965fa989ef1a4,076434ff206c4ef5831602e0a2a7522a,Combs-Rodriguez,Elizabeth Rivera,melissa92@lam-carter.net,573.444.7539x27248,General Business,25M+,315,2025-03-28,Relocation
c3227d35e7734aa3ba8b7b974f43a2a3,57e217c5387d4711815590f353ad5421,8d6e37b64c7b467985a7c291f897c6dd,Rosales LLC,Kaitlyn Booth DDS,jenniferadams@blair-acosta.com,774.743.2827,General Business,5M–25M,446,2022-01-28,Relocation
a1bd7a2d9b9845cd91e7cd9620b55f59,2395b8d0efeb4dffb04d34dbbe0245ae,072e312a7035464ba0c96c2552184485,Barrett-Smith,Troy Small,amy95@hart-graham.com,407-679-0294,General Business,1M–5M,363,2025-03-30,Relocation
7ad4390ef22f493580750e0ebf3c56df,3d679e29f4e24d7c87a1f5fe767b3354,915c57bfff314f35a47784611c065330,Olson-Turner,Nicole Simmons,alexander95@richards.com,415.549.6941,General Business,1M–5M,112,2021-08-24,Expansion
08fa28a1a99f4de6a2c171024c2b5b5e,274d6a082abc4de091a10bc562745591,bd2993d75ae846749237b212101e9cae,Miller Inc,Heidi Montgomery,gfranklin@smith-simmons.biz,674.985.5515,General Business,25M+,138,2023-03-20,Relocation
a64062e663484e18bc0cbe6a87e9c37f,ff93ad65cf104e1287ca24cd181819e7,34fc6b9de6ce47c1b484905a13aff383,Nicholson and Sons,Wesley Stewart,robinsonbrenda@alexander.com,001-312-930-4679x353,General Business,5M–25M,391,2021-07-23,Relocation
86ca8ec65f2e42878504aa3e850206bf,05bc072d112642fea142531f3732d557,ef6a37759c4c44cda07ae6bf4e30772b,Gomez-Villa,Shelby Gilbert,parksgregory@adams.com,834-689-1928,General Business,5M–25M,203,2022-07-06,Expansion
e3b140410d4e466a8c1ed5dcccf6f808,eb4235c3a65c417d981ccea9ad76839b,05b61cd8ef35429791d721fec0fc3032,Hebert-Hall,Pamela Ortega,kennethwilliams@wilson.com,+1-977-432-0508x2924,General Business,5M–25M,310,2023-09-19,Expansion
adf1804f3dea4fa587bba86dd5b5b3e4,0555e6ee4a5c47378c7899f0434c49c2,e809697b3ba546619f774651d1a911ee,Smith-Torres,Sandra Henderson,kmcclain@aguilar-carter.com,777-643-5313x11560,General Business,1M–5M,455,2022-10-18,Expansion
d209df9e9aff48c7add415428397f86c,ea2f0fc90e65423498b01b174798b47b,cc801fc4926a4160820cd1cf464dc9c2,Jensen Inc,Michelle Rivas,barronrodney@moore.info,3866339222,General Business,25M+,63,2025-06-15,Relocation
645f1feff8eb473f84d2af4d499efef7,0555e6ee4a5c47378c7899f0434c49c2,456b68f7f5d74c87ae8781427b1052d0,Medina Inc,Kimberly Long,tanyapalmer@horn.com,(886)522-8263,General Business,25M+,461,2023-03-31,Expansion
24b3ab3dbc8f41978a95f924d4a882a4,4f1b05789b854a78b68452d6759bd67f,b30223d99e8d461cbcb1103f80437c64,"Smith, Martin and Boone",Holly Johnson,foleyclarence@cabrera-gillespie.org,+1-990-360-9403,General Business,<1M,208,2023-04-07,Relocation
