id,name,service_type,address,contact_name,contact_email,phone,tax_id,vendor_status,approved_vendor,created_by,created_at,modified_by,modified_at
4cdffcb306694510b79d9edde7eb5b9d,Washington Maintenance Co.,Maintenance & Janitorial Vendors,"7679 Timothy Bypass, Daviston, WV 98371",Charles Chavez,bharris@example.com,001-702-453-7522x40186,762-04-7232,Active,True,U256787,2023-04-15 11:54:09,U256787,2024-08-25 12:21:27
4d42af534202462dbb965f2e2863aec5,Ramirez Engineering,Engineering Services,"756 Williams Freeway Suite 661, Lake Amber, OH 52535",Eric Nguyen,zachary93@example.net,(865)822-6151x521,049-37-4940,Active,False,U146316,2023-08-12 16:26:49,U146316,2025-02-09 12:17:19
05a0beefa6ce442c99fa5e40191e420c,"Daniels, Porter and Abbott",Leasing Brokers & Tenant Reps,"8893 Pamela Isle, East Susanfort, NH 64723",Ms. Dawn White,tiffany89@example.net,(678)837-9304,333-53-9343,Active,True,U772246,2019-04-23 13:51:05,U772246,2023-03-08 07:24:20
07f1bf04c66f401abe4107bd58dd052c,French CPA Group,Financial & Tax Advisors,"58358 Deborah Cove, Port Joseph, WV 63534",Melissa Gibbs,tcabrera@example.org,(745)874-0689,677-79-6748,Active,False,U256787,2017-01-16 12:26:11,U256787,2017-08-06 23:36:36
4c897dbb8e9b441997ac3138ad4fa1dc,King CRE Watch,Security & Surveillance Providers,"2518 Stevens Trail Suite 488, Schroederchester, ID 39166",Gerald Christensen,adamhouston@example.net,277.494.1550x98452,027-85-1104,Active,False,U709570,2019-01-30 14:48:08,U256787,2020-09-13 12:01:58
214a551cd0884d3c846517ab7a49aa0f,"Braun, Leblanc and Terry",Leasing Brokers & Tenant Reps,"Unit 9548 Box 5459, DPO AE 50350",Sara Cook,osanders@example.net,683.381.3703x3217,797-90-3945,Active,True,U234053,2025-03-11 14:01:18,U234053,2025-06-28 05:37:18
510c7f5567da49428870bbf03942f0a2,"Roy, Hayes and Stanley",Property Management Firms,"242 Carlos Walks Suite 865, Daniellestad, DC 71149",Rebecca Blake,ayalacheryl@example.com,399.538.1357,300-70-9497,Active,False,U116739,2020-08-04 16:16:05,U256787,2020-10-02 07:35:08
3438a4dcd56c420da07956b9277d53b0,Kelley Escrow Services,Title & Escrow Services,"662 Medina Corner Apt. 161, West Amber, CT 56986",Paul Dunn,allison65@example.net,(670)502-8039x1653,315-22-9509,Active,True,U026225,2019-06-11 18:33:38,U709570,2021-03-23 07:26:04
4b81025e83534a38871c43c4fba9e59b,Davis Engineering,Engineering Services,"243 Gabriel Burg, North Jennifer, WY 67374",Courtney Young,fwillis@example.org,+1-845-885-6171,210-40-4959,Inactive,True,U256787,2015-09-20 12:13:01,U256787,2020-10-26 18:00:34
ed2309c2f90b42b480d72fc7953bd527,Jacobs Realty Management,Property Management Firms,"45222 Sharon Shoals, Davidchester, GU 94490",Jordan Byrd,william63@example.com,637.443.0004x879,789-24-7176,Active,True,U288389,2019-08-18 03:14:08,U256787,2021-01-17 14:54:38
